Name,Mileage,Dealer Name,Rating,rating_count,price
2021 Mercedes-Benz E-Class E 350 4MATIC,"8,623 mi.",Morrie's Mercedes Benz of St. Paul,4.3,20 ,"$62,795"
2019 Mercedes-Benz S-Class S 560 4MATIC,"11,453 mi.",Euro Motorcars Inc,4.6,557 ,"$99,881"
2018 Mercedes-Benz C-Class C 300 4MATIC,"15,139 mi.",Mercedes-Benz of Augusta,4.8,123 ,"$51,992"
2018 Mercedes-Benz C-Class C 300,"10,618 mi.",Mercedes-Benz of Stevens Creek,4.7,"1,191 ","$33,989"
2017 Mercedes-Benz GLE 350 Base,"24,233 mi.",Mercedes-Benz of Chandler,4.7,57 ,"$39,900"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"34,962 mi.",Mercedes-Benz of North Haven,4.8,910 ,"$43,497"
2015 Mercedes-Benz S-Class S 550,"34,430 mi.",Mercedes-Benz of Clearwater,4.2,78 ,"$53,222"
2019 Mercedes-Benz CLA 250 Base,"16,752 mi.",Fletcher Jones Motorcars of Fremont,4.9,"1,141 ","$33,250"
2018 Mercedes-Benz C-Class C 300,"21,261 mi.",Mercedes-Benz of Arcadia,4.8,"1,084 ","$32,545"
2018 Mercedes-Benz GLC 300 Base,"24,844 mi.",Mercedes-Benz of Gainesville,4.8,754 ,"$36,999"
2019 Mercedes-Benz AMG GLE 63 S-Model 4MATIC,"15,388 mi.",Mercedes-Benz of Edison,4.9,"2,124 ","$95,999"
2018 Mercedes-Benz E-Class E 300,"19,114 mi.",Mercedes-Benz of Fredericksburg,4.6,122 ,"$43,000"
2019 Mercedes-Benz E-Class E 300,"11,232 mi.",Mercedes-Benz of San Antonio,4.8,"1,246 ","$54,977"
2019 Mercedes-Benz C-Class C 300,"23,075 mi.",Autobahn Motors,4.6,890 ,"$32,999"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"34,866 mi.",Mercedes-Benz of Naperville,4.7,410 ,"$44,000"
2017 Mercedes-Benz SL 450 Base,"42,288 mi.",Baker Motor Company of Charleston,3.8,81 ,"$64,998"
2018 Mercedes-Benz GLC 300 ,"20,449 mi.",Mercedes-Benz of Birmingham,4.9,763 ,"$40,866"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"45,713 mi.",Autobahn Motors,4.6,890 ,"$42,999"
2018 Mercedes-Benz C-Class C 300,"21,392 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"1,683 ","$36,310"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"35,865 mi.",Mercedes-Benz of Cherry Hill,4.3,487 ,"$69,995"
2017 Mercedes-Benz S-Class S 550 4MATIC,"49,578 mi.",Mercedes-Benz of Arlington,4.9,"1,502 ","$59,995"
2018 Mercedes-Benz C-Class C 300,"30,326 mi.",Mercedes-Benz of Pembroke Pines,4.6,742 ,"$34,595"
2018 Mercedes-Benz C-Class C 300 4MATIC,"36,076 mi.",Mercedes-Benz of Westwood,4.8,124 ,"$33,898"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"13,317 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"1,683 ","$79,995"
2019 Mercedes-Benz GLC 350e Base 4MATIC,"21,277 mi.",Autobahn Motors,4.6,890 ,"$43,999"
2018 Mercedes-Benz GLC 300 Base 4MATIC,"10,650 mi.",Autobahn Motors,4.6,890 ,"$41,497"
2019 Mercedes-Benz S-Class S 560,"12,291 mi.",Mercedes-Benz Of Henderson,4.9,"1,509 ","$124,991"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"21,341 mi.",Mercedes-Benz of Oakland,4.2,23 ,"$55,986"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"21,164 mi.",Mercedes-Benz of Hanover,4.7,86 ,"$61,753"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"18,138 mi.",Mercedes-Benz of Foothill Ranch,4.7,517 ,"$70,884"
2019 Mercedes-Benz C-Class C 300,"12,769 mi.",Fletcher Jones Imports,4.9,"2,131 ","$43,995"
2019 Mercedes-Benz AMG E 63 S 4MATIC,"37,469 mi.",Mercedes-Benz of Arcadia,4.8,"1,084 ","$91,268"
2016 Mercedes-Benz E-Class E 350 4MATIC,"37,138 mi.",Euro Motorcars Devon,4.7,294 ,"$34,490"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"24,555 mi.",Mercedes-Benz of Fredericksburg,4.6,122 ,"$47,300"
2017 Mercedes-Benz GLE 350 Base,"44,344 mi.",RBM of Atlanta,4.9,"1,001 ","$37,841"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"34,969 mi.",Feldmann Imports,4.6,127 ,"$42,933"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"17,805 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,026 ","$49,999"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"37,191 mi.",Mercedes-Benz of Hanover,4.7,86 ,"$44,506"
2018 Mercedes-Benz GLC 300 Base,"15,083 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"1,683 ","$41,341"
2018 Mercedes-Benz C-Class C 300 4MATIC,"34,871 mi.",Mercedes-Benz of Arlington,4.9,"1,502 ","$34,995"
2020 Mercedes-Benz CLA 250 Base,"13,341 mi.",Mercedes-Benz of Laredo,4.6,6 ,"$39,990"
2019 Mercedes-Benz GLA 250 Base,"49,034 mi.",RBM of Atlanta,4.9,"1,001 ","$32,658"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"11,824 mi.",Mercedes-Benz of Rochester,4.8,64 ,"$47,424"
2018 Mercedes-Benz GLC 300 Base,"36,382 mi.",Mercedes-Benz of Miami,4.7,672 ,"$33,995"
2018 Mercedes-Benz GLA 250 Base 4MATIC,"26,069 mi.",Autobahn Motors,4.6,890 ,"$32,497"
2018 Mercedes-Benz AMG GLE 63 S Coupe 4MATIC,"30,996 mi.",Mercedes-Benz of Fredericksburg,4.6,122 ,"$82,500"
2018 Mercedes-Benz C-Class C 300 4MATIC,"32,916 mi.",Mercedes-Benz of Naperville,4.7,410 ,"$32,000"
2018 Mercedes-Benz GLC 300 Base 4MATIC,"12,378 mi.",Mercedes-Benz of Plano,4.4,"1,003 ","$41,000"
2018 Mercedes-Benz S-Class S 450,"48,476 mi.",Mercedes-Benz of Fort Lauderdale,4.6,867 ,"$66,692"
2020 Mercedes-Benz C-Class C 300,"22,930 mi.",Mercedes-Benz of Fayetteville,4.9,597 ,"$41,000"
2018 Mercedes-Benz E-Class E 300,"18,026 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,3.6,13 ,"$42,970"
2020 Mercedes-Benz GLE 350 Base,"19,696 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"1,683 ","$66,379"
2018 Mercedes-Benz S-Class S 560 4MATIC,"38,568 mi.",Mercedes-Benz of Chantilly,4.7,326 ,"$78,000"
2018 Mercedes-Benz C-Class C 300 4MATIC,"17,362 mi.",Mercedes-Benz of Springfield,4.9,44 ,"$35,749"
2018 Mercedes-Benz GLA 250 Base 4MATIC,"14,979 mi.",Mercedes-Benz of Bellevue,4.7,482 ,"$32,952"
2019 Mercedes-Benz GLE 400 Base 4MATIC,"39,295 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$44,999"
2018 Mercedes-Benz C-Class C 300,"23,483 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$33,488"
2017 Mercedes-Benz GLE 350 Base,"57,287 mi.",RBM of Atlanta,4.9,"1,001 ","$35,874"
2019 Mercedes-Benz E-Class E 450,"20,035 mi.",Mercedes-Benz of South Orlando,4.8,888 ,"$69,991"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"18,489 mi.",Mercedes-Benz of Fredericksburg,4.6,122 ,"$59,500"
2018 Mercedes-Benz E-Class E 300,"20,052 mi.",Mercedes-Benz of Birmingham,4.9,763 ,"$48,354"
2019 Mercedes-Benz C-Class C 300 4MATIC,"31,040 mi.",Mercedes-Benz of Bellevue,4.7,482 ,"$36,952"
2017 Mercedes-Benz E-Class ,"17,494 mi.",Mercedes-Benz of Arrowhead,4.7,91 ,"$40,985"
2017 Mercedes-Benz GLS 450 Base 4MATIC,"30,735 mi.",Mercedes-Benz of Bellevue,4.7,482 ,"$52,850"
2018 Mercedes-Benz C-Class C 300,"37,607 mi.",Mercedes-Benz of San Jose,4.6,477 ,"$29,995"
2019 Mercedes-Benz AMG E 53 Base 4MATIC,"38,703 mi.",Mercedes-Benz of Arcadia,4.8,"1,084 ","$61,584"
2018 Mercedes-Benz E-Class E 300,"10,035 mi.",Mercedes-Benz of Fredericksburg,4.6,122 ,"$47,000"
2017 Mercedes-Benz E-Class E 400,"22,946 mi.",RBM of Atlanta,4.9,"1,001 ","$38,974"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"21,564 mi.",Mercedes-Benz of Arcadia,4.8,"1,084 ","$63,807"
2019 Mercedes-Benz AMG CLS 53 S-Model 4MATIC,"21,769 mi.",Autohaus on Edens,4.7,"1,477 ","$79,892"
2019 Mercedes-Benz GLC 300 Base,"10,667 mi.",Mercedes-Benz of Pompano,4.5,591 ,"$38,495"
2019 Mercedes-Benz C-Class C 300 4MATIC,"11,783 mi.",Mercedes-Benz of Bellevue,4.7,482 ,"$39,495"
2019 Mercedes-Benz CLA 250 Base 4MATIC,"33,291 mi.",Mercedes-Benz of Springfield,4.9,44 ,"$31,994"
2018 Mercedes-Benz C-Class C 300 4MATIC,"36,653 mi.",Fletcher Jones Motorcars,4.8,"4,814 ","$49,892"
2020 Mercedes-Benz AMG GT 53 Base,"23,868 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,026 ","$114,999"
2021 Mercedes-Benz GLC 300 Base 4MATIC,"9,234 mi.",Mercedes-Benz of Burlington,5.0,6 ,"$49,991"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"15,958 mi.",Plaza Motor Company,4.5,50 ,"$59,650"
2018 Mercedes-Benz C-Class C 300,"21,528 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$30,999"
